col,dtype,non_null_rate,example_len_stats
_id,object,1.0,p50=24;p95=24;max=24
userId,int64,1.0,p50=9;p95=10;max=10
createdAt,"datetime64[ns, UTC]",1.0,p50=32;p95=32;max=32
firstName,object,1.0,p50=6;p95=10;max=61
lastName,object,0.5413,p50=7;p95=12;max=61
onboardingCompleted,bool,1.0,p50=4;p95=4;max=4
updatedAt,"datetime64[ns, UTC]",1.0,p50=32;p95=32;max=32
userName,object,0.9463,p50=10;p95=16;max=21
cvAnalysisResult,object,1.0,p50=4055;p95=4802;max=5406
cvEnhancedDriveFileId,object,0.0,
cvEnhancedPdfPath,object,1.0,p50=40;p95=41;max=41
cvEnhancedResult,object,1.0,p50=7438;p95=10098;max=12132
cvPath,object,1.0,p50=37;p95=38;max=38
selectedPosition,object,1.0,p50=67;p95=103;max=142
talentCard.first_name,object,0.9942,p50=6;p95=9;max=19
talentCard.last_name,object,0.9866,p50=8;p95=11;max=14
talentCard.overall_summary,object,1.0,p50=555;p95=671;max=804
talentCard.overall_skills,object,1.0,p50=310;p95=435;max=617
talentCard.overall_tools,object,0.048,p50=103;p95=231;max=243
talentCard.jobs[0].region,object,0.7236,p50=12;p95=26;max=68
talentCard.jobs[1].region,object,0.5988,p50=14;p95=26;max=45
talentCard.jobs[2].region,object,0.5873,p50=12;p95=28;max=58
talentCard.jobs[3].region,object,0.4626,p50=10;p95=27;max=94
talentCard.jobs[4].region,object,0.3378,p50=9;p95=27;max=45
talentCard.jobs[5].region,object,0.215,p50=10;p95=22;max=26
talentCard.jobs[6].region,object,0.1075,p50=9;p95=21;max=33
talentCard.jobs[7].region,object,0.071,p50=10;p95=25;max=44
talentCard.jobs[8].region,object,0.0422,p50=7;p95=19;max=35
talentCard.jobs[9].region,object,0.025,p50=15;p95=24;max=32
talentCard.jobs[10].region,object,0.0096,p50=14;p95=17;max=18
talentCard.jobs[11].region,object,0.0019,p50=6;p95=6;max=6
talentCard.jobs[12].region,float64,0.0,
talentCard.jobs[0].job_title,object,1.0,p50=26;p95=71;max=162
talentCard.jobs[1].job_title,object,0.9885,p50=25;p95=67;max=178
talentCard.jobs[2].job_title,object,0.9213,p50=26;p95=70;max=119
talentCard.jobs[3].job_title,object,0.7447,p50=28;p95=72;max=120
talentCard.jobs[4].job_title,object,0.5489,p50=29;p95=64;max=130
talentCard.jobs[5].job_title,object,0.3493,p50=29;p95=71;max=193
talentCard.jobs[6].job_title,object,0.2035,p50=25;p95=75;max=110
talentCard.jobs[7].job_title,object,0.1267,p50=29;p95=76;max=123
talentCard.jobs[8].job_title,object,0.0787,p50=26;p95=52;max=99
talentCard.jobs[9].job_title,object,0.0403,p50=26;p95=42;max=48
talentCard.jobs[10].job_title,object,0.0173,p50=39;p95=55;max=58
talentCard.jobs[11].job_title,object,0.0058,p50=28;p95=28;max=29
talentCard.jobs[12].job_title,object,0.0019,p50=17;p95=17;max=17
talentCard.jobs[0].seniority,object,0.2745,p50=6;p95=6;max=6
talentCard.jobs[1].seniority,object,0.2917,p50=6;p95=6;max=6
talentCard.jobs[2].seniority,object,0.3301,p50=6;p95=6;max=6
talentCard.jobs[3].seniority,object,0.2591,p50=6;p95=6;max=6
talentCard.jobs[4].seniority,object,0.1747,p50=6;p95=6;max=6
talentCard.jobs[5].seniority,object,0.1209,p50=6;p95=6;max=6
talentCard.jobs[6].seniority,object,0.0672,p50=6;p95=6;max=6
talentCard.jobs[7].seniority,object,0.0441,p50=6;p95=6;max=6
talentCard.jobs[8].seniority,object,0.025,p50=6;p95=6;max=6
talentCard.jobs[9].seniority,object,0.0134,p50=6;p95=6;max=6
talentCard.jobs[10].seniority,object,0.0019,p50=6;p95=6;max=6
talentCard.jobs[11].seniority,object,0.0019,p50=6;p95=6;max=6
talentCard.jobs[12].seniority,float64,0.0,
talentCard.jobs[0].industry,object,0.1497,p50=6;p95=13;max=24
talentCard.jobs[1].industry,object,0.1823,p50=7;p95=13;max=20
